Model,FS,Replicate,Mean_CV,Accuracy,Precision,Recall,F1
knn,kbest,1,0.7754,0.7586,0.7748,0.7586,0.752
knn,kbest,2,0.6868,0.7413,0.7621,0.7413,0.745
knn,kbest,3,0.7401,0.6896,0.7207,0.6896,0.6979
knn,kbest-pca,1,0.7985,0.6034,0.6426,0.6034,0.6082
knn,kbest-pca,2,0.7091,0.6206,0.6422,0.6206,0.6253
knn,kbest-pca,3,0.725,0.6551,0.6885,0.6551,0.665
knn,variance_threshold,1,0.7686,0.6551,0.6518,0.6551,0.6398
knn,variance_threshold,2,0.7678,0.7586,0.7738,0.7586,0.7514
knn,variance_threshold,3,0.717,0.7586,0.783,0.7586,0.7595
knn,variance_threshold-pca,1,0.776,0.7241,0.7253,0.7241,0.7232
knn,variance_threshold-pca,2,0.7384,0.6724,0.676,0.6724,0.6728
knn,variance_threshold-pca,3,0.7247,0.5344,0.5752,0.5344,0.5171
logreg,kbest,1,0.7766,0.7931,0.7969,0.793,0.7935
logreg,kbest,2,0.7695,0.8103,0.835,0.8103,0.8111
logreg,kbest,3,0.7621,0.7586,0.7843,0.7586,0.7657
logreg,kbest-pca,1,0.7398,0.4137,0.4311,0.4137,0.4166
logreg,kbest-pca,2,0.7245,0.6896,0.6928,0.6896,0.6908
logreg,kbest-pca,3,0.7396,0.5,0.5324,0.5,0.5027
logreg,variance_threshold,1,0.7387,0.7931,0.8018,0.7931,0.7923
logreg,variance_threshold,2,0.7464,0.8103,0.8193,0.8103,0.8104
logreg,variance_threshold,3,0.7472,0.7586,0.7632,0.7586,0.7595
logreg,variance_threshold-pca,1,0.6641,0.6206,0.619,0.6206,0.618
logreg,variance_threshold-pca,2,0.6792,0.6379,0.6385,0.6379,0.6379
logreg,variance_threshold-pca,3,0.7544,0.5862,0.5917,0.5862,0.5838
mlp,kbest,1,0.7079,0.5862,0.7675,0.5862,0.5267
mlp,kbest,2,0.6649,0.7241,0.735,0.7241,0.725
mlp,kbest,3,0.7549,0.5344,0.3737,0.5344,0.435
mlp,kbest-pca,1,0.7094,0.5172,0.5223,0.5172,0.5182
mlp,kbest-pca,2,0.7019,0.6896,0.6923,0.6896,
mlp,kbest-pca,3,0.6723,0.5689,0.6149,0.5689,0.5772
mlp,variance_threshold,1,0.5136,0.7931,0.8018,0.7931,0.7923
mlp,variance_threshold,2,0.3897,0.362,0.131,0.362,0.1924
mlp,variance_threshold,3,0.4239,0.3793,0.1438,0.3793,0.2086
mlp,variance_threshold-pca,1,0.694,0.6724,0.6665,0.6724,0.6641
mlp,variance_threshold-pca,2,0.649,0.5689,0.5839,0.5689,0.5737
mlp,variance_threshold-pca,3,0.6202,0.4137,0.4153,0.4137,0.4054
RF,kbest,1,0.7544,0.7241,0.731,0.7241,0.7222
RF,kbest,2,0.7695,0.7758,0.7823,0.7758,0.7745
RF,kbest,3,0.7031,0.6896,0.7437,0.6896,0.7042
RF,kbest-pca,1,0.7774,0.6896,0.6922,0.6896,0.6876
RF,kbest-pca,2,0.6945,0.6724,0.7229,0.6724,0.6796
RF,kbest-pca,3,0.7025,0.5517,0.6217,0.5517,0.5415
RF,variance_threshold,1,0.7615,0.7413,0.7432,0.7413,0.7398
RF,variance_threshold,2,0.784,0.7931,0.8135,0.7931,0.7951
RF,variance_threshold,3,0.6951,0.7758,0.7983,0.7758,0.7802
RF,variance_threshold-pca,1,0.7165,0.6724,0.6875,0.6724,0.6747
RF,variance_threshold-pca,2,0.7242,0.6896,0.7298,0.6896,0.6998
RF,variance_threshold-pca,3,0.7547,0.5689,0.6321,0.5689,0.5653
svm,kbest,1,0.5968,0.6206,0.798,0.6206,0.5744
svm,kbest,2,0.5675,0.6034,0.5603,0.6034,0.5402
svm,kbest,3,0.6128,0.5172,0.4796,0.5172,0.4421
svm,kbest-pca,1,0.776,0.5689,0.6134,0.5689,0.5822
svm,kbest-pca,2,0.7247,0.6896,0.7545,0.6896,0.6988
svm,kbest-pca,3,0.733,0.6896,0.7662,0.6896,0.7017
svm,variance_threshold,1,0.582,0.5862,0.5144,0.5862,0.5059
svm,variance_threshold,2,0.5675,0.6034,0.56034,0.6034,0.5402
svm,variance_threshold,3,0.6128,0.5172,0.4796,0.5172,0.4421
svm,variance_threshold-pca,1,0.7538,0.7758,0.801,0.7758,0.7765
svm,variance_threshold-pca,2,0.7837,0.7241,0.7824,0.7241,0.7297
svm,variance_threshold-pca,3,0.7475,0.5,0.5937,0.5,0.4909
